trafonr;lat;lon;conductivity;conductivity total;naam;;verbonden trafo;alle aansluitingen
362;50.828969;6.299594;1.00E+00;3.33E-01;Zukunft (D);;32;393
363;50.802084;6.166844;1.00E+00;3.33E-01;Verlautenheide (D);;32;394
364;50.392235;6.532951;1.00E-08;3.33E-09;Splitsing (D);;32,365,366;395,396,397
365;50.390377;6.532239;1.00E+00;3.33E-01;Dahlem (D);;364;396
366;49.922031;6.476454;1.00E+00;3.33E-01;Niederstedem (D);;364,367,368;397,398,400
367;49.724364;6.813781;1.00E+00;3.33E-01;Ossburg (D);;366,368;398,399
368;49.374038;6.993955;1.00E+00;3.33E-01;Uchtelfangen (D);;366,367,369,370;399,400,401,402
369;49.369515;7.235597;1.00E+00;3.33E-01;Mittelbexbach (D);;368;401
370;49.291855;6.773681;1.00E+00;3.33E-01;Ensdorf (D);;368;402
371;51.114705;3.604706;1.00E+00;3.33E-01;Horta (B);;24,372;403,406
372;51.132791;3.780371;1.00E-08;3.33E-09;Splitsing (B);;24,371,373;404,405,406
373;51.131587;3.777975;1.00E+00;3.33E-01;Rodenhuize (B);;372;405
374;51.022659;4.230605;1.00E-08;3.33E-09;Splitsing (B);;24,375,376;407,408,409,410
375;50.943336;4.420050;1.00E+00;3.33E-01;Verbrande brug (B);;374;408,409
376;50.881262;4.231021;1.00E+00;3.33E-01;Bruegel (B);;374,390,392;410,411,414,415
377;50.907768;5.543907;1.00E-08;3.33E-09;Splitsing (B);;28,378,380;432,433,434,435
378;50.938803;5.486855;1.00E+00;3.33E-01;André Dumont (B);;377;434
379;50.754774;5.667076;1.00E+00;3.33E-01;Lixhe (B);;28,380;428,429,430,431
380;50.512456;5.285680;1.00E+00;3.33E-01;Gramme (B);;377,379,381,382,383,385,387,388;419,421,422,423,425,427,428,429,432,433
381;50.533413;5.270976;1.00E+00;3.33E-01;Tihange (B);;380;422
382;50.539835;5.470259;1.00E+00;3.33E-01;Rimière (B);;380;427
383;50.375449;5.842321;1.00E+00;3.33E-01;Brume (B);;380,384;425,426
384;49.567302;5.794411;1.00E+00;3.33E-01;Aubange (B);;383;426
385;50.260192;5.054839;1.00E+00;3.33E-01;Achêne (B);;380,386;423,424
386;49.827413;4.572805;1.00E+00;3.33E-01;Lonny (F);;385;424
387;50.488676;4.903347;1.00E+00;3.33E-01;Champion (B);;380,390;420,421
388;50.494603;4.526517;1.00E-08;3.33E-09;Splitsing (B);;380,389,390;417,418,419
389;50.436671;4.567225;1.00E+00;3.33E-01;Tergneé (B);;388;418
390;50.494694;4.347570;1.00E+00;3.33E-01;Courcelles (B);;376,387,388,391,392;413,414,415,416,417,420
391;50.483685;4.331831;1.00E+00;3.33E-01;Gouy (B);;390;416
392;50.756763;4.220554;1.00E-08;3.33E-09;Splitsing (B);;376,390,393;411,412,413
393;50.803223;4.300958;1.00E+00;3.33E-01;Drogenbos (B);;392;412
394;51.440842;0.715320;1.00E+10;3.33E+09;Grain (GB);;17;436
395;58.282761;6.866468;1.00E+10;3.33E+09;Feda (N);;1;437
396;51.750341;7.826351;1.00E-08;3.33E-09;Splitsing (D);;317,318,321;323,324,325
