kabelnr;strtlat;strtlon;eindlat;eindlon;kab/3;Volt;;heading;length old;length;weerstand/m;resistance;conductivity old;conductivity;radians lat1;radians lon1;radians lat2;radians lon2;diff lat;dif lon;a
23;52.015933;4.306742;51.982486;4.223998;6;380;;56.7;6776.42535659299;6800.0;3.00E-05;0.103;4.91901431495919;9.71;0.907849294346772;0.075166827933926;0.907265534071857;0.073722672697656;-0.000291880137457;-0.000722077618135;2.82830391899076E-07
24;51.982486;4.223998;51.959484;4.162632;8;380;;58.7;4920.7019834796;10216.0;3.00E-05;0.150;6.77410122483423;6.69;0.907265534071857;0.073722672697656;0.906864073437313;0.072651633948877;-0.000200730317272;-0.000535519374389;1.49134768194537E-07
25;51.959484;4.162632;51.955790;4.021997;8;380;;87.6;9645.50865487832;10216.0;3.00E-05;0.150;3.45583986558082;6.69;0.906864073437313;0.072651633948877;0.906799600974745;0.070197090155334;-3.22362312843438E-05;-0.001227271896771;5.73026868115515E-07
26;51.955790;4.021997;51.839252;4.265566;8;380;;-52.3;21147.7606075682;26000.0;3.00E-05;0.400;1.57621102072644;2.50;0.906799600974745;0.070197090155334;0.904765629171055;0.074448171161125;-0.001016985901845;0.002125540502895;2.75456592530172E-06
27;51.839252;4.265566;51.760648;4.587888;8;380;;-68.6;23825.2306037757;20215.0;3.00E-05;0.309;1.39907704935502;3.24;0.904765629171055;0.074448171161125;0.903393730565818;0.080073751312738;-0.000685949302619;0.002812790075807;3.49621811011869E-06
28;51.760648;4.587888;51.813679;4.747686;8;380;;61.7;12473.3332849915;20215.0;3.00E-05;0.309;2.67236772815504;3.24;0.903393730565818;0.080073751312738;0.904319296121443;0.08286275255084;0.000462782777813;0.001394500619051;9.58274018370135E-07
29;51.813679;4.747686;51.914190;4.630619;8;380;;-35.7;13766.9286766886;14835.0;3.00E-05;0.227;2.42126142410953;4.41;0.904319296121443;0.08286275255084;0.906073544005915;0.080819547955407;0.000877123942236;-0.001021602297716;1.16734372842063E-06
30;51.914190;4.630619;51.842427;4.803304;6;380;;-56.1;14289.4724459834;17010.0;3.00E-05;0.398;2.33271966192867;2.52;0.906073544005915;0.080819547955407;0.904821043374806;0.083833469774214;-0.000626250315554;0.001506960909403;1.2576419263329E-06
31;51.842427;4.803304;51.701049;4.832798;6;380;;-7.4;15850.9639094219;17010.0;3.00E-05;0.398;2.10292153359329;2.52;0.904821043374806;0.083833469774214;0.902353531784922;0.084348237183797;-0.001233755794942;0.000257383704792;1.54751878226442E-06
32;51.701049;4.832798;51.540593;4.254293;3;380;;66.2;43742.1285143581;25300.0;3.00E-05;0.619;0.762041868227603;1.61;0.902353531784922;0.084348237183797;0.899553046280342;0.074251420194547;-0.00140024275229;-0.005048408494625;1.17848190052619E-05
33;51.540593;4.254293;51.430184;4.224287;3;380;;9.6;12451.4894918365;25300.0;3.00E-05;0.619;2.67705589401072;1.61;0.899553046280342;0.074251420194547;0.897626045706507;0.073727716699194;-0.000963500286917;-0.000261851747677;9.54920623806064E-07
34;51.430184;4.224287;51.466625;3.985881;3;380;;-76.1;17010.8961292895;25300.0;3.00E-05;0.619;1.95952835641267;1.61;0.897626045706507;0.073727716699194;0.898262061139227;0.069566747042684;0.00031800771636;-0.002080484828255;1.78229227998773E-06
35;51.466625;3.985881;51.433162;3.730082;3;380;;78.2;18112.3014201307;25300.0;3.00E-05;0.619;1.84036984368454;1.61;0.898262061139227;0.069566747042684;0.897678021611632;0.065102212269375;-0.000292019763797;-0.002232267386654;2.02056013369058E-06
36;51.433162;3.730082;51.466625;3.985881;3;380;;78.0;18112.3014201307;15800.0;3.00E-05;0.387;1.84036984368454;2.59;0.897678021611632;0.065102212269375;0.898262061139227;0.069566747042684;0.000292019763797;0.002232267386654;2.02056013369058E-06
37;51.466625;3.985881;51.430184;4.224287;3;380;;-76.3;17010.8961292895;15800.0;3.00E-05;0.387;1.95952835641267;2.59;0.898262061139227;0.069566747042684;0.897626045706507;0.073727716699194;-0.00031800771636;0.002080484828255;1.78229227998773E-06
38;51.430184;4.224287;51.369835;4.247843;3;380;;66.2;6906.60788095041;15800.0;3.00E-05;0.387;4.82629590500893;2.59;0.897626045706507;0.073727716699194;0.896572756956221;0.074138846457794;-0.000526644375143;0.0002055648793;2.93801734718704E-07
39;51.701049;4.832798;51.540593;4.254293;3;380;;66.2;43742.1285143581;33500.0;3.00E-05;0.855;0.762041868227603;1.17;0.902353531784922;0.084348237183797;0.899553046280342;0.074251420194547;-0.00140024275229;-0.005048408494625;1.17848190052619E-05
40;51.540593;4.254293;51.369835;4.247843;3;380;;1.4;18992.682044182;33500.0;3.00E-05;0.855;1.75506193679183;1.17;0.899553046280342;0.074251420194547;0.896572756956221;0.074138846457794;-0.00149014466206;-5.62868683768175E-05;2.22175963619286E-06
41;51.369835;4.247843;51.322719;4.254694;4;380;;-5.2;5260.6238157035;6800.0;3.00E-05;0.240;6.33638414399256;4.17;0.896572756956221;0.074138846457794;0.895750427625852;0.074258418964848;-0.000411164665185;5.97862535270666E-05;1.70450887690685E-07
42;51.322719;4.254694;51.154687;4.246158;8;380;;1.8;18693.7533958013;22800.0;3.00E-05;0.710;1.78312683534277;1.41;0.895750427625852;0.074258418964848;0.892817715977141;0.074109437659897;-0.001466355824356;-7.44906524751121E-05;2.15237285113434E-06
43;51.154687;4.246158;51.116792;4.508993;2;380;;-77.2;18816.4709345474;21100.0;3.00E-05;0.650;1.77149761234625;1.54;0.892817715977141;0.074109437659897;0.892156323457097;0.078696773799377;-0.000330696260022;0.00229366806974;2.18072464019661E-06
44;51.116143;4.508428;51.195732;4.628061;2;380;;43.3;12162.7781946534;14100.0;3.00E-05;0.460;2.74060192497683;2.17;0.892144996270252;0.078686912689103;0.893534086368622;0.080774902433141;0.000694545049185;0.001043994872019;9.11150756929092E-07
45;51.195732;4.628061;51.107373;5.062391;2;380;;-72.2;31847.2048502511;32500.0;3.00E-05;1.010;1.0466643302001;0.99;0.893534086368622;0.080774902433141;0.891991930894852;0.088355390973328;-0.000771077736885;0.003790244270093;6.2469285254355E-06
46;51.107373;5.062391;51.158647;5.362180;2;380;;74.6;21681.2531917141;28750.0;3.00E-05;0.890;1.53742650568152;1.12;0.891991930894852;0.088355390973328;0.89288683101552;0.09358769608459;0.000447450060334;0.002616152555631;2.89529714177773E-06
47;51.158647;5.362180;51.121040;5.774052;2;380;;-81.9;29037.3517287966;28750.0;3.00E-05;0.890;1.14794674268716;1.12;0.89288683101552;0.09358769608459;0.892230465043722;0.100776218581364;-0.000328182985899;0.003594261248387;5.19323597756479E-06
48;51.121040;5.774052;51.148499;5.918134;6;380;;73.0;10506.5857567965;11000.0;3.00E-05;0.160;3.17261326418725;6.25;0.892230465043722;0.100776218581364;0.892709715003027;0.103290923874222;0.000239624979653;0.001257352646429;6.79904505974019E-07
49;51.148499;5.918134;51.434867;5.700021;6;380;;-25.4;35270.1619222716;24371.0;3.00E-05;0.567;0.945085917291601;1.77;0.892709715003027;0.103290923874222;0.897707779475378;0.09948413388282;0.002499032236176;-0.001903394995701;7.66193734571592E-06
50;51.434867;5.700021;51.446359;5.532725;6;380;;-83.6;11665.5879677275;24371.0;3.00E-05;0.567;2.85740705273912;1.77;0.897707779475378;0.09948413388282;0.897908352713018;0.096564267857403;0.00010028661882;-0.001459933012708;8.38181253014908E-07
51;51.446359;5.532725;51.701049;4.832798;9;380;;-59.4;56051.2090647309;63900.0;3.00E-05;1.470;0.594694278491624;0.68;0.897908352713018;0.096564267857403;0.902353531784922;0.084348237183797;0.002222589535952;-0.006108015336803;1.93504900229115E-05
52;51.148499;5.918134;50.912060;6.216822;3;380;;-38.6;33578.262783336;38000.0;3.00E-05;0.996;0.992705714063199;1.00;0.892709715003027;0.103290923874222;0.888583075972904;0.108504012910419;-0.002063319515061;0.002606544518098;6.94448813660142E-06
53;50.912060;6.216822;50.871952;6.456534;3;380;;-75.2;17394.8233528652;24000.0;3.00E-05;0.658;1.91627892144376;1.52;0.888583075972904;0.108504012910419;0.887883059316514;0.11268777656696;-0.000350008328195;0.00209188182827;1.86365094673759E-06
54;50.871952;6.456534;51.148499;5.918134;3;380;;-50.6;48625.2520957326;56000.0;3.00E-05;1.450;0.685514869263962;0.69;0.887883059316514;0.11268777656696;0.892709715003027;0.103290923874222;0.002413327843256;-0.004698426346369;1.45628515401127E-05
55;51.148499;5.918134;51.637665;5.909649;3;380;;-0.6;54395.9632067175;33200.0;3.00E-05;0.772;0.612790570628537;1.30;0.892709715003027;0.103290923874222;0.901247272291838;0.10314283268719;0.004268778644405;-7.40455935158632E-05;1.82244950021558E-05
56;51.637665;5.909649;51.815647;5.668981;3;380;;-39.9;25815.4907671208;33200.0;3.00E-05;0.772;1.29121439658189;1.30;0.901247272291838;0.10314283268719;0.904353644201122;0.098942383683001;0.001553185954642;-0.002100224502095;4.10473359258256E-06
57;51.815647;5.668981;51.926762;5.663534;3;380;;-1.7;12361.0824191963;33200.0;3.00E-05;0.772;2.69663547276151;1.30;0.904353644201122;0.098942383683001;0.906292966799476;0.098847315598645;0.000969661299177;-4.75340421780546E-05;9.41104102409576E-07
58;51.926762;5.663534;51.905738;5.968379;6;380;;-83.7;21038.5044309262;22700.0;3.00E-05;0.578;1.58439652603509;1.73;0.906292966799476;0.098847315598645;0.905926028777536;0.104167864556887;-0.00018346901097;0.002660274479121;2.72617751454651E-06
59;51.905738;5.968379;51.981568;6.251842;6;380;;66.4;21180.5427081973;22700.0;3.00E-05;0.578;1.57377144639606;1.73;0.905926028777536;0.104167864556887;0.907249511949324;0.109115227214467;0.000661741585894;0.00247368132879;2.76311249107838E-06
60;51.981568;6.251842;51.647022;6.680221;8;380;;-38.5;47444.43316476;46000.0;3.00E-05;0.960;0.70257627944625;1.04;0.907249511949324;0.109115227214467;0.901410582749947;0.116591851210868;-0.002919464599689;0.0037383119982;1.38641521594148E-05
61;51.981568;6.251842;52.139003;6.235947;6;380;;-3.5;17539.6684967307;29325.0;3.00E-05;0.746;1.90045401026516;1.34;0.907249511949324;0.109115227214467;0.909997271057201;0.108837807129863;0.001373879553939;-0.000138710042302;1.89481705854443E-06
62;52.139003;6.235947;52.248786;6.757987;6;380;;70.9;37618.6564829009;29325.0;3.00E-05;0.746;0.886085162251464;1.34;0.909997271057201;0.108837807129863;0.911913345869918;0.117949123956974;0.000958037406358;0.004555658413556;8.71625844096693E-06
63;52.248786;6.757987;52.477605;6.149681;6;380;;-58.1;48512.356002754;30155.0;3.00E-05;0.765;0.687110173157557;1.31;0.911913345869918;0.117949123956974;0.915906990811039;0.107332181397337;0.00199682247056;-0.005308471279818;1.44953075193752E-05
